attention,meditation,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-188,0,0,0,0,0,0,0,0,0,0
0,0,-66,0,0,0,0,0,0,0,0,0,0
0,0,81,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0
0,0,61,0,0,0,0,0,0,0,0,0,0
0,0,61,0,0,0,0,0,0,0,0,0,0
0,0,76,0,0,0,0,0,0,0,0,0,0
0,0,101,0,0,0,0,0,0,0,0,0,0
0,0,101,0,0,0,0,0,0,0,0,0,0
0,0,115,0,0,0,0,0,0,0,0,0,0
0,0,69,0,0,0,0,0,0,0,0,0,0
0,0,85,0,0,0,0,0,0,0,0,0,0
0,0,85,0,0,0,0,0,0,0,0,0,0
0,0,187,0,0,0,0,0,0,0,0,0,0
0,0,187,0,0,0,0,0,0,0,0,0,0
0,0,168,0,0,0,0,0,0,0,0,0,0
0,0,168,0,0,0,0,0,0,0,0,0,0
0,0,99,0,0,0,0,0,0,0,0,0,0
0,0,52,0,0,0,0,0,0,0,0,0,0
0,0,113,0,0,0,0,0,0,0,0,0,0
0,0,113,0,0,0,0,0,0,0,0,0,0
0,0,124,0,0,0,0,0,0,0,0,0,0
0,0,124,0,0,0,0,0,0,0,0,0,0
0,0,132,0,0,0,0,0,0,0,0,0,0
0,0,69,0,0,0,0,0,0,0,0,0,0
0,0,69,0,0,0,0,0,0,0,0,0,0
0,0,37,0,0,0,0,0,0,0,0,0,0
0,0,25,0,0,0,0,0,0,0,0,0,0
0,0,82,0,0,0,0,0,0,0,0,0,0
0,0,25,0,0,0,0,0,0,0,0,0,0
0,0,28,0,0,0,0,0,0,0,0,0,0
0,0,28,0,0,0,0,0,0,0,0,0,0
0,0,32,0,0,0,0,0,0,0,0,0,0
0,0,-102,0,0,0,0,0,0,0,0,0,0
0,0,-102,0,0,0,0,0,0,0,0,0,0
0,0,-14,0,0,0,0,0,0,0,0,0,0
0,0,-14,0,0,0,0,0,0,0,0,0,0
0,0,35,0,0,0,0,0,0,0,0,0,0
0,0,29,0,0,0,0,0,0,0,0,0,0
0,0,29,0,0,0,0,0,0,0,0,0,0
0,0,23,0,0,0,0,0,0,0,0,0,0
0,0,56,0,0,0,0,0,0,0,0,0,0
0,0,58,0,0,0,0,0,0,0,0,0,0
0,0,89,0,0,0,0,0,0,0,0,0,0
0,0,128,0,0,0,0,0,0,0,0,0,0
0,0,25,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0
0,0,45,0,0,0,0,0,0,0,0,0,0
0,0,45,0,0,0,0,0,0,0,0,0,0
0,0,88,0,0,0,0,0,0,0,0,0,0
0,0,88,0,0,0,0,0,0,0,0,0,0
0,0,27,0,0,0,0,0,0,0,0,0,0
24,97,19,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,387,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,387,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,336,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,116,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,37,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,37,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,92,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,-227,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,-154,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,8,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,70,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,177,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,132,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,132,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,-89,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,-89,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,-3,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,-3,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,77,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,220,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,3,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,-146,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,-146,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,-4,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,161,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,259,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,259,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,-87,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,-87,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,-55,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,90,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,184,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,184,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,32,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,32,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,32,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,-92,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,36,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,147,118375,15447,5150,7056,4583,2225,2482,55401,0,0
